Name,Formula,S°,absS°,Hf°,Sf°,Gf°,group,CO-(O)(CO),CO-(CD)(O),CO-(C)(O),CO-(H)(O),CO-(O)(CB),O-(H)(CO),O-(C)(CB),CD-(H)(CO),CB-(CO)(CB)2,CB-(O)(CB)2,C-(CO)(C)3,C-(H)2(CO)(C) ,C-(H)3(O),C-(H)3(C),C-(H)3(CB),C-(H)2(C)2,CD-(H)2,CB-(H)(CB)2,CB-(C)(CB)2,C-(H)2(C)(CB),C-(C)4,CH3(qua),CB-(CB)3,CO-(C)(N),N-(H)(CO)2,C-(H)3(N),N-(CO)2(C),CO-(CD)(N),CO-(N)(CB),CB-(NO2)(CB)2,C-(H)2(N)(C),CB-(N)(CB)2,N-(CO)2(CB),rsc,radical 1,radical 2,radical 3,radical 4,Correction o,Correction m,Correction p
Benzoic acid,C7H6O2,85.05,355.8492,295.7,281.0868,211.8939706,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Methylbenzoic acid,C8H8O2,92.483,386.948872,320.6,386.298128,205.4252131,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
3-Methylbenzoic acid,C8H8O2,95.463,399.417192,327.9,373.829808,216.4426427,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
4-Methylbenzoic acid,C8H8O2,95.643,400.170312,330.4,373.076688,219.1671855,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
2-Propenoic acid,C3H4O2,72.435,303.06804,330.7,180.33696,276.9325354,acid,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,6-Dimethylbenzoic acid",C9H10O2,102.257,427.843288,341.6,481.714712,197.9767586,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,2,0,0
"2,3-Dimethylbenzoic acid",C9H10O2,100.373,419.960632,345.8,489.597368,199.8265447,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,1,0
"2,5-Dimethylbenzoic acid",C9H10O2,102.87,430.40808,351.1,479.14992,208.2414514,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,1,0,1
"2,4-Dimethylbenzoic acid",C9H10O2,103.381,432.546104,355,477.011896,212.7789032,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,1,0
"3,4-Dimethylbenzoic acid",C9H10O2,100.48,420.40832,362.4,489.14968,216.5600229,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,1,1
"3,5-Dimethylbenzoic acid",C9H10O2,106.032,443.637888,364.5,465.920112,225.5859186,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,2,0
"2,4,6-Trimethylbenzoic acid",C10H12O2,104.1,435.5544,374.2,610.3146,192.234702,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,0,2,0,1
"2,3,4-Trimethylbenzoic acid",C10H12O2,107.942,451.629328,377.3,594.239672,200.1274418,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,1,1,1
Methanoic acid,CH2O2,59.512,248.998208,378.7,92.355792,351.1641206,acid,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,3,5-Trimethylbenzoic acid",C10H12O2,110.154,460.884336,382.2,584.984664,207.7868224,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,1,2,0
"2,4,5-Trimethylbenzoic acid",C10H12O2,107.642,450.374128,386.2,595.494872,208.6532039,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,0,1,1,1
"3,4,5-Trimethylbenzoic acid",C10H12O2,104.386,436.751024,389.8,609.117976,208.1914755,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,2,1
"2,3,4,6-Tetramethylbenzoic acid",C11H14O2,116.786,488.632624,398.1,693.547376,191.3188498,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,4,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,6,2,1,1
"2,3,4,5-Tetramethylbenzoic acid",C11H14O2,115.981,485.264504,398.7,696.915496,190.9146449,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,4,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,1,2,1
"2,3,5,6-Tetramethylbenzoic acid",C11H14O2,118.605,496.24332,400.1,685.93668,195.5879789,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,4,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,6,2,2,0
"3,5-Diethylbenzoic acid",C11H14O2,116.848,488.892032,407.8,693.287968,201.0961923,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,2,0
